location,TotalDeathCount
United States,1040355
Brazil,682358
India,527289
Russia,375658
Mexico,328871
Peru,215209
United Kingdom,187215
Italy,174571
Indonesia,157343
France,153570
Germany,146504
Iran,143288
Colombia,141406
Argentina,129566
Poland,116860
Ukraine,116549
Spain,112128
South Africa,102066
Turkey,100400
Romania,66462
Philippines,61261
Chile,60135
Hungary,47083
Canada,43740
Vietnam,43103
Czechia,40714
Bulgaria,37539
Japan,36579
Malaysia,36130
Ecuador,35812
Belgium,32436
Greece,32028
Thailand,32000
Pakistan,30548
Bangladesh,29315
Tunisia,29209
South Korea,25980
Iraq,25338
Egypt,24786
Portugal,24772
Netherlands,22661
Bolivia,22164
Austria,20546
Slovakia,20236
Sweden,19682
Paraguay,19448
Myanmar,19437
Guatemala,19309
Kazakhstan,19032
Georgia,16883
Sri Lanka,16646
Croatia,16552
Serbia,16509
Morocco,16269
Bosnia and Herzegovina,15980
Jordan,14095
Switzerland,13953
Australia,13325
Nepal,11990
Moldova,11693
Israel,11525
Honduras,10971
Lebanon,10596
Azerbaijan,9784
Hong Kong,9597
Taiwan,9572
North Macedonia,9440
Saudi Arabia,9274
Lithuania,9254
Costa Rica,8808
Armenia,8643
Cuba,8529
Panama,8444
Ireland,7782
Afghanistan,7759
Ethiopia,7571
Uruguay,7429
Belarus,7118
Algeria,6878
Denmark,6846
Slovenia,6755
Libya,6436
Latvia,5920
Venezuela,5784
Palestine,5691
Kenya,5673
Zimbabwe,5589
Finland,5467
China,5226
Sudan,4961
Oman,4628
Dominican Republic,4384
El Salvador,4218
Trinidad and Tobago,4092
Namibia,4074
Zambia,4016
Norway,3890
Uganda,3628
Albania,3575
Jamaica,3235
Kosovo,3188
Syria,3160
Nigeria,3148
Cambodia,3056
Kyrgyzstan,2991
Botswana,2777
Montenegro,2765
Malawi,2675
Estonia,2642
Kuwait,2562
United Arab Emirates,2341
Mozambique,2219
Yemen,2153
Mongolia,2124
Senegal,1988
Cameroon,1933
Angola,1917
New Zealand,1824
Uzbekistan,1637
Singapore,1576
Bahrain,1513
Rwanda,1466
Ghana,1459
Eswatini,1419
Madagascar,1410
Democratic Republic of Congo,1393
Suriname,1382
Somalia,1361
Guyana,1278
Cyprus,1152
Luxembourg,1121
Mauritius,1020
Mauritania,992
Haiti,876
Fiji,875
Tanzania,841
Bahamas,823
Cote d'Ivoire,817
Malta,799
Laos,757
Mali,739
Lesotho,704
Qatar,681
Belize,680
Papua New Guinea,664
French Polynesia,649
Barbados,529
Guinea,447
Cape Verde,410
Saint Lucia,388
Burkina Faso,387
Congo,386
Gambia,368
New Caledonia,314
Niger,312
Maldives,307
Gabon,306
Liberia,294
Curacao,285
Togo,281
Aruba,271
Nicaragua,244
Grenada,234
Brunei,225
Chad,193
Djibouti,189
Equatorial Guinea,183
Iceland,179
Guinea-Bissau,174
Seychelles,168
Benin,163
Comoros,161
Andorra,155
Solomon Islands,153
Bermuda,148
Antigua and Barbuda,144
South Sudan,138
Timor,135
Sierra Leone,126
Tajikistan,125
San Marino,118
Isle of Man,115
Saint Vincent and the Grenadines,115
Central African Republic,113
Gibraltar,107
Eritrea,103
Liechtenstein,86
Sao Tome and Principe,76
Dominica,68
British Virgin Islands,63
Monaco,61
Saint Kitts and Nevis,46
Burundi,38
Bonaire Sint Eustatius and Saba,37
Turks and Caicos Islands,36
Cayman Islands,29
Samoa,29
Faeroe Islands,28
Bhutan,21
Micronesia (country),21
Greenland,21
Vanuatu,14
Kiribati,13
Marshall Islands,13
Tonga,12
Anguilla,10
Montserrat,8
Wallis and Futuna,7
Macao,6
Palau,6
North Korea,6
Cook Islands,1
Saint Pierre and Miquelon,1
Western Sahara,
Falkland Islands,
Guernsey,
Guam,
Jersey,
Northern Mariana Islands,
Niue,
Nauru,
Pitcairn,
Puerto Rico,
Saint Helena,
Sint Maarten (Dutch part),
Tokelau,
Turkmenistan,
Tuvalu,
Vatican,
United States Virgin Islands,
Northern Cyprus,
