location,population,total_doses_given
China,1425893464,3349116000
India,1407563842,1999279821
United States,336997624,607551579
Brazil,214326223,447607152
Indonesia,273753191,330544770
Japan,124612530,307305045
Germany,83408554,184405160
Mexico,126705138,150702693
Turkey,84775404,149231023
France,67422000,149095367
Russia,145102755,148835970
United Kingdom,67281040,148215913
Vietnam,97468028,140207439
Italy,59240330,140160740
South Korea,51830139,128478765
Thailand,71601103,126312388
Pakistan,231402116,126106694
Bangladesh,169356251,123144770
Argentina,45276780,108540344
Canada,38155012,87926837
Peru,33715472,81777952
Malaysia,33573874,71997305
Spain,47486935,62965910
Chile,19493184,61634199
Saudi Arabia,35950396,58060875
Australia,25921089,57915645
Philippines,113880328,55439750
Colombia,51516562,50290307
Taiwan,23859912,47217368
Poland,38307726,39446083
Cambodia,16589023,36482941
Ecuador,17797737,35802262
Cuba,11256372,35171045
Sri Lanka,21773441,33589253
Ukraine,43531422,31551877
Morocco,37076584,27406052
Belgium,11611420,25753909
Ethiopia,120283026,23047615
Iran,87923432,20588423
Greece,10445365,20399102
United Arab Emirates,9365144,20138062
South Africa,59392255,19393358
Austria,8922082,18983075
Kazakhstan,19196465,18655980
Hong Kong,7494578,18275590
Israel,9291000,18215843
Czechia,10510750,17854579
Romania,19328560,16801198
Switzerland,8691406,15924798
Nepal,30034989,15715807
Uzbekistan,34081449,15127072
Singapore,5453600,14296548
Bolivia,12079472,14207950
Dominican Republic,11117874,13837758
Guatemala,17608483,13486669
Denmark,5854240,13215193
New Zealand,5129728,11607644
Norway,5403021,11606432
Kenya,53005614,11113785
Ireland,4986526,10969355
Zimbabwe,15993524,10838732
Azerbaijan,10312992,10719068
Uruguay,3426260,8657618
Tunisia,12262946,8546232
Hungary,9709786,8276404
Qatar,2688235,5475250
Lebanon,5592631,5134981
El Salvador,6314167,4964236
Lithuania,2786651,4492273
Mongolia,3347782,4415265
Bulgaria,6885868,4320253
Jordan,11148278,4276815
Paraguay,6703799,4139056
Croatia,4060135,3734920
Serbia,6871547,3264684
Nigeria,213401323,3160328
Slovenia,2119410,2980936
Bahrain,1463265,2944200
Latvia,1873919,2895704
Zambia,19473125,2517495
Kyrgyzstan,6527743,2463377
Cote d'Ivoire,27478249,2278710
Egypt,109262178,2157499
Laos,7425058,2030383
Estonia,1328701,2014542
Palestine,5133392,1640780
Guinea,13531906,1586407
Trinidad and Tobago,1525663,1502665
Georgia,3757980,1455821
Albania,2854710,1417691
Moldova,3061506,1336495
Kosovo,1782115,1330391
Malta,526748,1299908
Malawi,19889742,1256993
Finland,5535992,1254404
Luxembourg,639321,1245490
North Macedonia,2103330,925842
Rwanda,13461888,920644
Macao,686607,899183
Bhutan,777486,862033
Maldives,521458,772572
Uganda,45853778,704976
Montenegro,627859,608316
Jamaica,2827694,561296
Cyprus,896007,428204
Suriname,612984,343344
Senegal,16876720,330137
Mozambique,32077072,295812
Barbados,281200,292579
Brunei,445373,259735
Iceland,370335,258851
Panama,4351267,258113
Namibia,2530151,234709
Honduras,10278346,229026
Libya,6735277,200655
Curacao,190338,190996
Ghana,32833031,180950
Algeria,44177969,170786
Guyana,804567,145862
Tajikistan,9750064,124745
Belize,400031,122692
Aruba,106536,113030
Eswatini,1192271,110765
Bosnia and Herzegovina,3270943,93862
Isle of Man,84263,93324
Gibraltar,32670,92234
Syria,21324367,72289
Oman,4520471,65081
Liechtenstein,39039,59168
Sudan,45657202,45572
Greenland,56243,43336
Seychelles,106470,42863
Democratic Republic of Congo,95894118,42303
Haiti,11447569,41453
Somalia,17065581,37292
Kuwait,4250114,35636
Mauritius,1298915,35153
Faeroe Islands,52888,34813
Fiji,924610,28295
Iraq,43533592,26828
Saint Lucia,179652,26359
Mauritania,4614974,24659
San Marino,33746,20141
Saint Vincent and the Grenadines,104332,16641
Guernsey,63065,15931
Cayman Islands,68136,15339
Afghanistan,40099462,14125
Madagascar,28915653,13544
Central African Republic,5457154,12887
Djibouti,1105557,12179
Botswana,2588423,10435
Cameroon,27198628,10290
Liberia,5193416,10089
Bahamas,407906,9258
Antigua and Barbuda,93220,8412
Sierra Leone,8420641,7981
Timor,1320942,7881
South Sudan,10748272,7489
Cape Verde,587925,7462
Saint Kitts and Nevis,47606,6553
Dominica,72412,6417
Andorra,79034,4802
Myanmar,53798084,3800
Northern Cyprus,,1988
Guinea-Bissau,2060721,1658
Congo,5835806,1486
Gabon,2341179,1486
Anguilla,15753,1421
Grenada,124610,1159
French Polynesia,304032,855
Equatorial Guinea,1634466,639
Burundi,12551213,460
Gambia,2639916,429
Nauru,12512,168
Nicaragua,6850540,0
Angola,34503774,
Armenia,2790974,
Belarus,9578168,
Benin,12996895,
Bermuda,64185,
Bonaire Sint Eustatius and Saba,26706,
British Virgin Islands,31122,
Burkina Faso,22100683,
Chad,17179740,
Comoros,821626,
Cook Islands,17003,
Costa Rica,5153957,
Eritrea,3620312,
Falkland Islands,3764,
Guam,170534,
Jersey,109618,
Kiribati,128874,
Lesotho,2281454,
Mali,21904983,
Marshall Islands,42050,
Micronesia (country),113131,
Monaco,36686,
Montserrat,4417,
Netherlands,17501696,
New Caledonia,287800,
Niger,25252722,
Niue,1937,
North Korea,25971909,
Northern Mariana Islands,49481,
Palau,18024,
Papua New Guinea,9949437,
Pitcairn,47,
Portugal,10290103,
Puerto Rico,3256028,
Saint Helena,5404,
Saint Pierre and Miquelon,5883,
Samoa,218764,
Sao Tome and Principe,223107,
Sint Maarten (Dutch part),44042,
Slovakia,5447622,
Solomon Islands,707851,
Sweden,10467097,
Tanzania,63588334,
Togo,8644829,
Tokelau,1849,
Tonga,106017,
Turkmenistan,6341855,
Turks and Caicos Islands,45114,
Tuvalu,11204,
United States Virgin Islands,100091,
Vanuatu,319136,
Vatican,511,
Venezuela,28199866,
Wallis and Futuna,11627,
Western Sahara,565581,
Yemen,32981641,
